communicate round 1  accuracy: 0.12479998916387558
communicate round 2  accuracy: 0.21499991416931152
communicate round 3  accuracy: 0.22829996049404144
communicate round 4  accuracy: 0.5232000350952148
communicate round 5  accuracy: 0.5152000188827515
communicate round 6  accuracy: 0.37860000133514404
communicate round 7  accuracy: 0.4462999999523163
communicate round 8  accuracy: 0.5719998478889465
communicate round 9  accuracy: 0.6174001693725586
communicate round 10  accuracy: 0.5656000375747681
communicate round 11  accuracy: 0.5845999121665955
communicate round 12  accuracy: 0.5067998766899109
communicate round 13  accuracy: 0.5909000039100647
communicate round 14  accuracy: 0.5577999353408813
communicate round 15  accuracy: 0.6399999856948853
communicate round 16  accuracy: 0.6751998066902161
communicate round 17  accuracy: 0.6294000744819641
communicate round 18  accuracy: 0.6503000259399414
communicate round 19  accuracy: 0.6228997707366943
communicate round 20  accuracy: 0.6259999871253967
communicate round 21  accuracy: 0.5788998603820801
communicate round 22  accuracy: 0.6873999834060669
communicate round 23  accuracy: 0.7295999526977539
communicate round 24  accuracy: 0.6391999125480652
communicate round 25  accuracy: 0.6197998523712158
communicate round 26  accuracy: 0.602899968624115
communicate round 27  accuracy: 0.8212000131607056
communicate round 28  accuracy: 0.7738999128341675
communicate round 29  accuracy: 0.7283996939659119
communicate round 30  accuracy: 0.7216998934745789
communicate round 31  accuracy: 0.6693997979164124
communicate round 32  accuracy: 0.6768999099731445
communicate round 33  accuracy: 0.8014997839927673
communicate round 34  accuracy: 0.7496000528335571
communicate round 35  accuracy: 0.6710999011993408
communicate round 36  accuracy: 0.5170000195503235
communicate round 37  accuracy: 0.7680999636650085
communicate round 38  accuracy: 0.7070999145507812
communicate round 39  accuracy: 0.7148000001907349
communicate round 40  accuracy: 0.7224999070167542
communicate round 41  accuracy: 0.7361000180244446
communicate round 42  accuracy: 0.7745999097824097
communicate round 43  accuracy: 0.7806001305580139
communicate round 44  accuracy: 0.7624000310897827
communicate round 45  accuracy: 0.8326998949050903
communicate round 46  accuracy: 0.76500004529953
communicate round 47  accuracy: 0.817500114440918
communicate round 48  accuracy: 0.8642001152038574
communicate round 49  accuracy: 0.7639997005462646
communicate round 50  accuracy: 0.8255999088287354
communicate round 51  accuracy: 0.8318999409675598
communicate round 52  accuracy: 0.7528001070022583
communicate round 53  accuracy: 0.8258998394012451
communicate round 54  accuracy: 0.6920997500419617
communicate round 55  accuracy: 0.8085000514984131
communicate round 56  accuracy: 0.7489001154899597
communicate round 57  accuracy: 0.7579999566078186
communicate round 58  accuracy: 0.7193998694419861
communicate round 59  accuracy: 0.8557999730110168
communicate round 60  accuracy: 0.7731000185012817
communicate round 61  accuracy: 0.7521999478340149
communicate round 62  accuracy: 0.777600109577179
communicate round 63  accuracy: 0.7622999548912048
communicate round 64  accuracy: 0.7353998422622681
communicate round 65  accuracy: 0.7407998442649841
communicate round 66  accuracy: 0.6871999502182007
communicate round 67  accuracy: 0.6713998913764954
communicate round 68  accuracy: 0.673099935054779
communicate round 69  accuracy: 0.7758999466896057
communicate round 70  accuracy: 0.7703997492790222
communicate round 71  accuracy: 0.8112001419067383
communicate round 72  accuracy: 0.7954999208450317
communicate round 73  accuracy: 0.8040000796318054
communicate round 74  accuracy: 0.7019000053405762
communicate round 75  accuracy: 0.7554000020027161
communicate round 76  accuracy: 0.7729997634887695
communicate round 77  accuracy: 0.7345999479293823
communicate round 78  accuracy: 0.8131999969482422
communicate round 79  accuracy: 0.7623999118804932
communicate round 80  accuracy: 0.7449000477790833
communicate round 81  accuracy: 0.8342999219894409
communicate round 82  accuracy: 0.7918999195098877
communicate round 83  accuracy: 0.6869000792503357
communicate round 84  accuracy: 0.8355000615119934
communicate round 85  accuracy: 0.6905998587608337
communicate round 86  accuracy: 0.7623000144958496
communicate round 87  accuracy: 0.7536998391151428
communicate round 88  accuracy: 0.7879000902175903
communicate round 89  accuracy: 0.7070999145507812
communicate round 90  accuracy: 0.7495999932289124
communicate round 91  accuracy: 0.8047997951507568
communicate round 92  accuracy: 0.8303999304771423
communicate round 93  accuracy: 0.8422999978065491
communicate round 94  accuracy: 0.7232999205589294
communicate round 95  accuracy: 0.8080998659133911
communicate round 96  accuracy: 0.8311998844146729
communicate round 97  accuracy: 0.8458999991416931
communicate round 98  accuracy: 0.7245998978614807
communicate round 99  accuracy: 0.7150997519493103
communicate round 100  accuracy: 0.808499813079834
communicate round 101  accuracy: 0.8503002524375916
communicate round 102  accuracy: 0.8418000340461731
communicate round 103  accuracy: 0.8715997934341431
communicate round 104  accuracy: 0.7717999815940857
communicate round 105  accuracy: 0.8504999279975891
communicate round 106  accuracy: 0.7495999932289124
communicate round 107  accuracy: 0.8538997173309326
communicate round 108  accuracy: 0.7488998770713806
communicate round 109  accuracy: 0.733500063419342
communicate round 110  accuracy: 0.7593997716903687
communicate round 111  accuracy: 0.8681000471115112
communicate round 112  accuracy: 0.8465998768806458
communicate round 113  accuracy: 0.8224000334739685
communicate round 114  accuracy: 0.7827998399734497
communicate round 115  accuracy: 0.8214002251625061
communicate round 116  accuracy: 0.6943998336791992
communicate round 117  accuracy: 0.6953999400138855
communicate round 118  accuracy: 0.8779997825622559
communicate round 119  accuracy: 0.8044001460075378
communicate round 120  accuracy: 0.7978999018669128
communicate round 121  accuracy: 0.8341999053955078
communicate round 122  accuracy: 0.7897999882698059
communicate round 123  accuracy: 0.7267000675201416
communicate round 124  accuracy: 0.6779000759124756
communicate round 125  accuracy: 0.8226000070571899
communicate round 126  accuracy: 0.8065999150276184
communicate round 127  accuracy: 0.8749998211860657
communicate round 128  accuracy: 0.6769999265670776
communicate round 129  accuracy: 0.8652001619338989
communicate round 130  accuracy: 0.8770002722740173
communicate round 131  accuracy: 0.7070000171661377
communicate round 132  accuracy: 0.7326996922492981
communicate round 133  accuracy: 0.7402000427246094
communicate round 134  accuracy: 0.8324999213218689
communicate round 135  accuracy: 0.81190025806427
communicate round 136  accuracy: 0.8242002129554749
communicate round 137  accuracy: 0.733199954032898
communicate round 138  accuracy: 0.8059998750686646
communicate round 139  accuracy: 0.7987999320030212
communicate round 140  accuracy: 0.8326001763343811
communicate round 141  accuracy: 0.7542999982833862
communicate round 142  accuracy: 0.8681996464729309
communicate round 143  accuracy: 0.8555001020431519
communicate round 144  accuracy: 0.8918997645378113
communicate round 145  accuracy: 0.7992998361587524
communicate round 146  accuracy: 0.7716999650001526
communicate round 147  accuracy: 0.8481998443603516
communicate round 148  accuracy: 0.7828001379966736
communicate round 149  accuracy: 0.7524998784065247
communicate round 150  accuracy: 0.8532999753952026
communicate round 151  accuracy: 0.6054999828338623
communicate round 152  accuracy: 0.7662999033927917
communicate round 153  accuracy: 0.8311001658439636
communicate round 154  accuracy: 0.8159000277519226
communicate round 155  accuracy: 0.8125
communicate round 156  accuracy: 0.7694999575614929
communicate round 157  accuracy: 0.7858999371528625
communicate round 158  accuracy: 0.834399938583374
communicate round 159  accuracy: 0.616399884223938
communicate round 160  accuracy: 0.7995003461837769
communicate round 161  accuracy: 0.7529000043869019
communicate round 162  accuracy: 0.7888001203536987
communicate round 163  accuracy: 0.7666999697685242
communicate round 164  accuracy: 0.8175998330116272
communicate round 165  accuracy: 0.8623000979423523
communicate round 166  accuracy: 0.8669000267982483
communicate round 167  accuracy: 0.7944998741149902
communicate round 168  accuracy: 0.7947998642921448
communicate round 169  accuracy: 0.8104002475738525
communicate round 170  accuracy: 0.7436000108718872
communicate round 171  accuracy: 0.7248998880386353
communicate round 172  accuracy: 0.867699921131134
communicate round 173  accuracy: 0.8141000270843506
communicate round 174  accuracy: 0.8219999670982361
communicate round 175  accuracy: 0.8870999217033386
communicate round 176  accuracy: 0.827599823474884
communicate round 177  accuracy: 0.8492001295089722
communicate round 178  accuracy: 0.7772001624107361
communicate round 179  accuracy: 0.8443999886512756
communicate round 180  accuracy: 0.8279998302459717
communicate round 181  accuracy: 0.8416000008583069
communicate round 182  accuracy: 0.8759000897407532
communicate round 183  accuracy: 0.777299702167511
communicate round 184  accuracy: 0.7146000266075134
communicate round 185  accuracy: 0.8764998316764832
communicate round 186  accuracy: 0.8192002177238464
communicate round 187  accuracy: 0.8338000774383545
communicate round 188  accuracy: 0.8554999828338623
communicate round 189  accuracy: 0.7675997614860535
communicate round 190  accuracy: 0.8195000290870667
communicate round 191  accuracy: 0.8149001002311707
communicate round 192  accuracy: 0.7993998527526855
communicate round 193  accuracy: 0.7943998575210571
communicate round 194  accuracy: 0.8429998755455017
communicate round 195  accuracy: 0.7612000703811646
communicate round 196  accuracy: 0.8780000805854797
communicate round 197  accuracy: 0.8596999049186707
communicate round 198  accuracy: 0.8292999863624573
communicate round 199  accuracy: 0.7148000001907349
communicate round 200  accuracy: 0.8612999320030212
communicate round 201  accuracy: 0.7324000597000122
communicate round 202  accuracy: 0.8514999151229858
communicate round 203  accuracy: 0.8723999857902527
communicate round 204  accuracy: 0.8081998825073242
communicate round 205  accuracy: 0.7578000426292419
communicate round 206  accuracy: 0.7974997758865356
communicate round 207  accuracy: 0.8425999879837036
communicate round 208  accuracy: 0.7435998320579529
communicate round 209  accuracy: 0.8403001427650452
communicate round 210  accuracy: 0.7635999321937561
communicate round 211  accuracy: 0.8392000198364258
communicate round 212  accuracy: 0.7163999080657959
communicate round 213  accuracy: 0.7840999960899353
communicate round 214  accuracy: 0.8296002149581909
communicate round 215  accuracy: 0.898099958896637
communicate round 216  accuracy: 0.7659000754356384
communicate round 217  accuracy: 0.8738002777099609
communicate round 218  accuracy: 0.88180011510849
communicate round 219  accuracy: 0.6827998757362366
communicate round 220  accuracy: 0.8603000640869141
communicate round 221  accuracy: 0.7826999425888062
communicate round 222  accuracy: 0.7460998296737671
communicate round 223  accuracy: 0.829200267791748
communicate round 224  accuracy: 0.790600061416626
communicate round 225  accuracy: 0.7783001065254211
communicate round 226  accuracy: 0.8659000992774963
communicate round 227  accuracy: 0.7435997724533081
communicate round 228  accuracy: 0.9005998969078064
communicate round 229  accuracy: 0.8690001964569092
communicate round 230  accuracy: 0.7404999136924744
communicate round 231  accuracy: 0.7916999459266663
communicate round 232  accuracy: 0.8778000473976135
communicate round 233  accuracy: 0.8233000636100769
communicate round 234  accuracy: 0.7922996878623962
communicate round 235  accuracy: 0.8401001691818237
communicate round 236  accuracy: 0.9032999277114868
communicate round 237  accuracy: 0.7865999341011047
communicate round 238  accuracy: 0.7286999225616455
communicate round 239  accuracy: 0.8134000301361084
communicate round 240  accuracy: 0.8067998886108398
communicate round 241  accuracy: 0.6836000084877014
communicate round 242  accuracy: 0.8899000287055969
communicate round 243  accuracy: 0.7495000958442688
communicate round 244  accuracy: 0.7916998267173767
communicate round 245  accuracy: 0.8076000809669495
communicate round 246  accuracy: 0.6832000613212585
communicate round 247  accuracy: 0.8335999250411987
communicate round 248  accuracy: 0.7963998913764954
communicate round 249  accuracy: 0.8061999082565308
communicate round 250  accuracy: 0.780299723148346
communicate round 251  accuracy: 0.8498001098632812
communicate round 252  accuracy: 0.8610999584197998
communicate round 253  accuracy: 0.8922001719474792
communicate round 254  accuracy: 0.6894999742507935
communicate round 255  accuracy: 0.798599898815155
communicate round 256  accuracy: 0.8642001152038574
communicate round 257  accuracy: 0.8582001328468323
communicate round 258  accuracy: 0.7728001475334167
communicate round 259  accuracy: 0.8093997240066528
communicate round 260  accuracy: 0.7577000260353088
communicate round 261  accuracy: 0.8733000159263611
communicate round 262  accuracy: 0.8086998462677002
communicate round 263  accuracy: 0.7987000942230225
communicate round 264  accuracy: 0.7491999864578247
